-89.0,-180.0,0.0
-89.0,-177.0,0.0
-89.0,-174.0,0.0
-89.0,-171.0,0.0
-89.0,-168.0,0.0
-89.0,-165.0,0.0
-89.0,-162.0,0.0
-89.0,-159.0,0.0
-89.0,-156.0,0.0
-89.0,-153.0,0.0
-89.0,-150.0,0.0
-89.0,-147.0,0.0
-89.0,-144.0,0.0
-89.0,-141.0,0.0
-89.0,-138.0,0.0
-89.0,-135.0,0.0
-89.0,-132.0,0.0
-89.0,-129.0,0.0
-89.0,-126.0,0.0
-89.0,-123.0,0.0
-89.0,-120.0,0.0
-89.0,-117.0,0.0
-89.0,-114.0,0.0
-89.0,-111.0,0.0
-89.0,-108.0,0.0
-89.0,-105.0,0.0
-89.0,-102.0,0.0
-89.0,-99.0,0.0
-89.0,-96.0,0.0
-89.0,-93.0,0.0
-89.0,-90.0,0.0
-89.0,-87.0,0.0
-89.0,-84.0,0.0
-89.0,-81.0,0.0
-89.0,-78.0,0.0
-89.0,-75.0,0.0
-89.0,-72.0,0.0
-89.0,-69.0,0.0
-89.0,-66.0,0.0
-89.0,-63.0,0.0
-89.0,-60.0,0.0
-89.0,-57.0,0.0
-89.0,-54.0,0.0
-89.0,-51.0,0.0
-89.0,-48.0,0.0
-89.0,-45.0,0.0
-89.0,-42.0,0.0
-89.0,-39.0,0.0
-89.0,-36.0,0.0
-89.0,-33.0,0.0
-89.0,-30.0,0.0
-89.0,-27.0,0.0
-89.0,-24.0,0.0
-89.0,-21.0,0.0
-89.0,-18.0,0.0
-89.0,-15.0,0.0
-89.0,-12.0,0.0
-89.0,-9.0,0.0
-89.0,-6.0,0.0
-89.0,-3.0,0.0
-89.0,0.0,0.0
-89.0,3.0,0.0
-89.0,6.0,0.0
-89.0,9.0,0.0
-89.0,12.0,0.0
-89.0,15.0,0.0
-89.0,18.0,0.0
-89.0,21.0,0.0
-89.0,24.0,0.0
-89.0,27.0,0.0
-89.0,30.0,0.0
-89.0,33.0,0.0
-89.0,36.0,0.0
-89.0,39.0,0.0
-89.0,42.0,0.0
-89.0,45.0,0.0
-89.0,48.0,0.0
-89.0,51.0,0.0
-89.0,54.0,0.0
-89.0,57.0,0.0
-89.0,60.0,0.0
-89.0,63.0,0.0
-89.0,66.0,0.0
-89.0,69.0,0.0
-89.0,72.0,0.0
-89.0,75.0,0.0
-89.0,78.0,0.0
-89.0,81.0,0.0
-89.0,84.0,0.0
-89.0,87.0,0.0
-89.0,90.0,0.0
-89.0,93.0,0.0
-89.0,96.0,0.0
-89.0,99.0,0.0
-89.0,102.0,0.0
-89.0,105.0,0.0
-89.0,108.0,0.0
-89.0,111.0,0.0
-89.0,114.0,0.0
-89.0,117.0,0.0
-89.0,120.0,0.0
-89.0,123.0,0.0
-89.0,126.0,0.0
-89.0,129.0,0.0
-89.0,132.0,0.0
-89.0,135.0,0.0
-89.0,138.0,0.0
-89.0,141.0,0.0
-89.0,144.0,0.0
-89.0,147.0,0.0
-89.0,150.0,0.0
-89.0,153.0,0.0
-89.0,156.0,0.0
-89.0,159.0,0.0
-89.0,162.0,0.0
-89.0,165.0,0.0
-89.0,168.0,0.0
-89.0,171.0,0.0
-89.0,174.0,0.0
-89.0,177.0,0.0
-89.0,180.0,0.0
-87.0,-180.0,0.0
-87.0,-177.0,0.0
-87.0,-174.0,0.0
-87.0,-171.0,0.0
-87.0,-168.0,0.0
-87.0,-165.0,0.0
-87.0,-162.0,0.0
-87.0,-159.0,0.0
-87.0,-156.0,0.0
-87.0,-153.0,0.0
-87.0,-150.0,0.0
-87.0,-147.0,0.0
-87.0,-144.0,0.0
-87.0,-141.0,0.0
-87.0,-138.0,0.0
-87.0,-135.0,0.0
-87.0,-132.0,0.0
-87.0,-129.0,0.0
-87.0,-126.0,0.0
-87.0,-123.0,0.0
-87.0,-120.0,0.0
-87.0,-117.0,0.0
-87.0,-114.0,0.0
-87.0,-111.0,0.0
-87.0,-108.0,0.0
-87.0,-105.0,0.0
-87.0,-102.0,0.0
-87.0,-99.0,0.0
-87.0,-96.0,0.0
-87.0,-93.0,0.0
-87.0,-90.0,0.0
-87.0,-87.0,0.0
-87.0,-84.0,0.0
-87.0,-81.0,0.0
-87.0,-78.0,0.0
-87.0,-75.0,0.0
-87.0,-72.0,0.0
-87.0,-69.0,0.0
-87.0,-66.0,0.0
-87.0,-63.0,0.0
-87.0,-60.0,0.0
-87.0,-57.0,0.0
-87.0,-54.0,0.0
-87.0,-51.0,0.0
-87.0,-48.0,0.0
-87.0,-45.0,0.0
-87.0,-42.0,0.0
-87.0,-39.0,0.0
-87.0,-36.0,0.0
-87.0,-33.0,0.0
-87.0,-30.0,0.0
-87.0,-27.0,0.0
-87.0,-24.0,0.0
-87.0,-21.0,0.0
-87.0,-18.0,0.0
-87.0,-15.0,0.0
-87.0,-12.0,0.0
-87.0,-9.0,0.0
-87.0,-6.0,0.0
-87.0,-3.0,0.0
-87.0,0.0,0.0
-87.0,3.0,0.0
-87.0,6.0,0.0
-87.0,9.0,0.0
-87.0,12.0,0.0
-87.0,15.0,0.0
-87.0,18.0,0.0
-87.0,21.0,0.0
-87.0,24.0,0.0
-87.0,27.0,0.0
-87.0,30.0,0.0
-87.0,33.0,0.0
-87.0,36.0,0.0
-87.0,39.0,0.0
-87.0,42.0,0.0
-87.0,45.0,0.0
-87.0,48.0,0.0
-87.0,51.0,0.0
-87.0,54.0,0.0
-87.0,57.0,0.0
-87.0,60.0,0.0
-87.0,63.0,0.0
-87.0,66.0,0.0
-87.0,69.0,0.0
-87.0,72.0,0.0
-87.0,75.0,0.0
-87.0,78.0,0.0
-87.0,81.0,0.0
-87.0,84.0,0.0
-87.0,87.0,0.0
-87.0,90.0,0.0
-87.0,93.0,0.0
-87.0,96.0,0.0
-87.0,99.0,0.0
-87.0,102.0,0.0
-87.0,105.0,0.0
-87.0,108.0,0.0
-87.0,111.0,0.0
-87.0,114.0,0.0
-87.0,117.0,0.0
-87.0,120.0,0.0
-87.0,123.0,0.0
-87.0,126.0,0.0
-87.0,129.0,0.0
-87.0,132.0,0.0
-87.0,135.0,0.0
-87.0,138.0,0.0
-87.0,141.0,0.0
-87.0,144.0,0.0
-87.0,147.0,0.0
-87.0,150.0,0.0
-87.0,153.0,0.0
-87.0,156.0,0.0
-87.0,159.0,0.0
-87.0,162.0,0.0
-87.0,165.0,0.0
-87.0,168.0,0.0
-87.0,171.0,0.0
-87.0,174.0,0.0
-87.0,177.0,0.0
-87.0,180.0,0.0
-85.0,-180.0,0.0
-85.0,-177.0,0.0
-85.0,-174.0,0.0
-85.0,-171.0,0.0
-85.0,-168.0,0.0
-85.0,-165.0,0.0
-85.0,-162.0,0.0
-85.0,-159.0,0.0
-85.0,-156.0,0.0
-85.0,-153.0,0.0
-85.0,-150.0,0.0
-85.0,-147.0,0.0
-85.0,-144.0,0.0
-85.0,-141.0,0.0
-85.0,-138.0,0.0
-85.0,-135.0,0.0
-85.0,-132.0,0.0
-85.0,-129.0,0.0
-85.0,-126.0,0.0
-85.0,-123.0,0.0
-85.0,-120.0,0.0
-85.0,-117.0,0.0
-85.0,-114.0,0.0
-85.0,-111.0,0.0
-85.0,-108.0,0.0
-85.0,-105.0,0.0
-85.0,-102.0,0.0
-85.0,-99.0,0.0
-85.0,-96.0,0.0
-85.0,-93.0,0.0
-85.0,-90.0,0.0
-85.0,-87.0,0.0
-85.0,-84.0,0.0
-85.0,-81.0,0.0
-85.0,-78.0,0.0
-85.0,-75.0,0.0
-85.0,-72.0,0.0
-85.0,-69.0,0.0
-85.0,-66.0,0.0
-85.0,-63.0,0.0
-85.0,-60.0,0.0
-85.0,-57.0,0.0
-85.0,-54.0,0.0
-85.0,-51.0,0.0
-85.0,-48.0,0.0
-85.0,-45.0,0.0
-85.0,-42.0,0.0
-85.0,-39.0,0.0
-85.0,-36.0,0.0
-85.0,-33.0,0.0
-85.0,-30.0,0.0
-85.0,-27.0,0.0
-85.0,-24.0,0.0
-85.0,-21.0,0.0
-85.0,-18.0,0.0
-85.0,-15.0,0.0
-85.0,-12.0,0.0
-85.0,-9.0,0.0
-85.0,-6.0,0.0
-85.0,-3.0,0.0
-85.0,0.0,0.0
-85.0,3.0,0.0
-85.0,6.0,0.0
-85.0,9.0,0.0
-85.0,12.0,0.0
-85.0,15.0,0.0
-85.0,18.0,0.0
-85.0,21.0,0.0
-85.0,24.0,0.0
-85.0,27.0,0.0
-85.0,30.0,0.0
-85.0,33.0,0.0
-85.0,36.0,0.0
-85.0,39.0,0.0
-85.0,42.0,0.0
-85.0,45.0,0.0
-85.0,48.0,0.0
-85.0,51.0,0.0
-85.0,54.0,0.0
-85.0,57.0,0.0
-85.0,60.0,0.0
-85.0,63.0,0.0
-85.0,66.0,0.0
-85.0,69.0,0.0
-85.0,72.0,0.0
-85.0,75.0,0.0
-85.0,78.0,0.0
-85.0,81.0,0.0
-85.0,84.0,0.0
-85.0,87.0,0.0
-85.0,90.0,0.0
-85.0,93.0,0.0
-85.0,96.0,0.0
-85.0,99.0,0.0
-85.0,102.0,0.0
-85.0,105.0,0.0
-85.0,108.0,0.0
-85.0,111.0,0.0
-85.0,114.0,0.0
-85.0,117.0,0.0
-85.0,120.0,0.0
-85.0,123.0,0.0
-85.0,126.0,0.0
-85.0,129.0,0.0
-85.0,132.0,0.0
-85.0,135.0,0.0
-85.0,138.0,0.0
-85.0,141.0,0.0
-85.0,144.0,0.0
-85.0,147.0,0.0
-85.0,150.0,0.0
-85.0,153.0,0.0
-85.0,156.0,0.0
-85.0,159.0,0.0
-85.0,162.0,0.0
-85.0,165.0,0.0
-85.0,168.0,0.0
-85.0,171.0,0.0
-85.0,174.0,0.0
-85.0,177.0,0.0
-85.0,180.0,0.0
-83.0,-180.0,0.0
-83.0,-177.0,0.0
-83.0,-174.0,0.0
-83.0,-171.0,0.0
-83.0,-168.0,0.0
-83.0,-165.0,0.0
-83.0,-162.0,0.0
-83.0,-159.0,0.0
-83.0,-156.0,0.0
-83.0,-153.0,0.0
-83.0,-150.0,0.0
-83.0,-147.0,0.0
-83.0,-144.0,0.0
-83.0,-141.0,0.0
-83.0,-138.0,0.0
-83.0,-135.0,0.0
-83.0,-132.0,0.0
-83.0,-129.0,0.0
-83.0,-126.0,0.0
-83.0,-123.0,0.0
-83.0,-120.0,0.0
-83.0,-117.0,0.0
-83.0,-114.0,0.0
-83.0,-111.0,0.0
-83.0,-108.0,0.0
-83.0,-105.0,0.0
-83.0,-102.0,0.0
-83.0,-99.0,0.0
-83.0,-96.0,0.0
-83.0,-93.0,0.0
-83.0,-90.0,0.0
-83.0,-87.0,0.0
-83.0,-84.0,0.0
-83.0,-81.0,0.0
-83.0,-78.0,0.0
-83.0,-75.0,0.0
-83.0,-72.0,0.0
-83.0,-69.0,0.0
-83.0,-66.0,0.0
-83.0,-63.0,0.0
-83.0,-60.0,0.0
-83.0,-57.0,0.0
-83.0,-54.0,0.0
-83.0,-51.0,0.0
-83.0,-48.0,0.0
-83.0,-45.0,0.0
-83.0,-42.0,0.0
-83.0,-39.0,0.0
-83.0,-36.0,0.0
-83.0,-33.0,0.0
-83.0,-30.0,0.0
-83.0,-27.0,0.0
-83.0,-24.0,0.0
-83.0,-21.0,0.0
-83.0,-18.0,0.0
-83.0,-15.0,0.0
-83.0,-12.0,0.0
-83.0,-9.0,0.0
-83.0,-6.0,0.0
-83.0,-3.0,0.0
-83.0,0.0,0.0
-83.0,3.0,0.0
-83.0,6.0,0.0
-83.0,9.0,0.0
-83.0,12.0,0.0
-83.0,15.0,0.0
